"gene_name","sigma_b_sq_stationary","sigma_eps_sq_stationary","range_stationary","prop_spatial_stationary","log_ml_stationary","sigma_b_sq_nonstationary","sigma_eps_sq_nonstationary","range_nonstationary","prop_spatial_nonstationary","log_ml_nonstationary","log_bayes_factor","bayes_factor","bf_interpretation","dataset_name","dataset_file","n_spots","n_genes_total"
"TNFRSF4",0.000487885688804986,0.0889589397793089,147.531826911092,0.00545447740880315,-913.033089854306,0.000128223723326819,0.0888760749101613,277.010437315298,0.00144064641029118,-919.425528055471,-6.39243820116531,0.00167416925958116,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"SDF4",0.0189667165301019,0.611409388527503,783.350597237308,0.030087936991788,-5036.78841932111,0.0135960058159984,0.611932147440804,878.798091424912,0.0217352420434013,-5043.00244679977,-6.21402747866432,0.0020011615767003,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"B3GALT6",4.8951280757647e-05,0.204343695041183,118.837843065425,0.000239496291273333,-2679.36156312658,9.67652914376035e-05,0.204143804795009,81.7611157815191,0.000473780950555744,-2684.06916699072,-4.7076038641394,0.00902638012389483,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"UBE2J2",0.000511868410759829,0.342240983682785,687.725268113928,0.00149340379703136,-3776.39408248529,8.41221976727415e-05,0.341757334117217,125.054389944717,0.000246085418016859,-3781.20124714635,-4.80716466105878,0.00817099442346427,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"SCNN1D",2.52892508682729e-05,0.0757912151713684,365.689172219616,0.000333558650072182,-575.143672330932,0.000146637140608938,0.0751195585069158,4.44620410655724,0.00194824700979504,-569.879731985112,5.26394034581995,193.241431166584,"Extreme for nonstationary","HumanHeart","HumanHeart.rds",4247,36601
"ACAP3",1.10223446220753e-07,0.289978859996091,13.1765400841934,3.80108413162874e-07,-3408.21795724419,0.000243362223881721,0.289001989708952,54.8717678890582,0.000841369523331985,-3415.30247592625,-7.08451868205657,0.000837978024094827,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"PUSL1",0.000182194034140172,0.172142182905989,168.473160880905,0.00105727371469605,-2316.46764456782,6.27601974069867e-05,0.171748602273457,298.862286262967,0.000365285488133123,-2321.62546311053,-5.15781854270836,0.00575423862991312,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"INTS11",0.0130165026648447,0.418821687254902,373.091258519686,0.0301420832355371,-4218.6552993031,0.0125652893615656,0.417548201083489,357.982480612553,0.0292138927066991,-4225.56342880994,-6.90812950683903,0.000999625842157616,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"CPTP",0.0296335001544881,0.590544837563463,349.525590192254,0.0477822238414993,-4955.37500816091,0.038049995114867,0.588293508506859,274.390411306349,0.0607494049109623,-4962.69262617882,-7.31761801791072,0.000663741349732772,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"DVL1",0.00230381640227027,0.518152787772588,1091.20386354492,0.00442652928945494,-4661.39398456966,0.00388514826725618,0.517721022959797,774.281623790993,0.00744843232609109,-4667.3447828836,-5.95079831393377,0.00260376106975032,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"MXRA8",0.0246753637570414,0.356096871532196,743.285528447454,0.0648034742824615,-3918.06383657531,0.0320783267343065,0.356004143579903,763.640235400847,0.0826585305652544,-3924.92465188507,-6.86081530976071,0.00104805909138793,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"AURKAIP1",0.0956490484792828,0.805911154406932,681.324791649715,0.106092802425258,-5632.60769195093,0.0952423238101786,0.788444370261665,586.662372695296,0.107778383955655,-5633.53606333809,-0.928371387157313,0.395196809148761,"Anecdotal for stationary","HumanHeart","HumanHeart.rds",4247,36601
"CCNL2",0.000444441208504464,0.358142295786532,150.681335047059,0.00123942455939361,-3869.40333507103,8.93080483774442e-06,0.358370581779058,141.420523323541,2.49199647975238e-05,-3872.78938964641,-3.3860545753746,0.0338419346498447,"Strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"MRPL20-AS1",0.000236667565849933,0.102330968590733,1603.82997521527,0.00230742927026833,-1216.79675204398,0.00642226825777141,0.101488908825502,129.67300405245,0.0595143935165813,-1222.15559131936,-5.35883927537702,0.00470636573300051,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"MRPL20",0.102603408928002,0.742102155554087,537.066304229052,0.121466476891165,-5497.57518337878,0.104409143604293,0.741521381349203,502.437863449717,0.123425199262117,-5504.42468740782,-6.84950402904451,0.00105998128248773,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"ANKRD65",1.01156115796118e-08,0.118856531776453,2333.04250836587,8.51077392845398e-08,-1526.15521948091,2.0490782751202e-12,0.119030357854516,1085.55865265407,1.7214753547069e-11,-1530.13150738289,-3.97628790198155,0.0187551311629273,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"VWA1",7.75995131232154e-23,0.227169513145384,46.8934791190919,3.41592989520355e-22,-2894.06258781421,5.00506470874629e-06,0.225664160610162,40.6445512022091,2.21787708293177e-05,-2899.80979135743,-5.74720354322653,0.00319169376197945,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"ATAD3C",0.00125705486515267,0.141628675268839,216.196313007849,0.00879762355536733,-1902.35385081062,0.000114547648902434,0.141218175655363,124.400602938172,0.000810482146132798,-1906.70834427145,-4.35449346082737,0.0128489464307473,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"ATAD3B",9.44798191926615e-05,0.113274541800606,195.088986022231,0.000833383033943036,-1425.64311108754,0.0001582871895399,0.113253668211223,228.146301054876,0.00139568345312945,-1429.36666664056,-3.72355555302761,0.024147955688952,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"ATAD3A",0.000235375074339407,0.244666829280112,482.971799650597,0.000961098226779307,-3064.45418304043,0.0295432398192527,0.242270671478395,173.471231844486,0.108689211962009,-3069.46968658886,-5.01550354842539,0.00663429050943222,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"TMEM240",5.51697030447227e-05,0.0885131450163698,129.968170017325,0.000622905643169355,-900.300627744809,7.370804673571e-06,0.0884273931089587,572.247556811719,8.33473664357777e-05,-904.16012297915,-3.85949523434067,0.0210786366101037,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"SSU72",0.00145129932137238,0.653939187841183,622.598623643115,0.00221440400768652,-5155.18528251996,0.00481335081845411,0.652158038715048,668.030270985838,0.00732657600488805,-5160.12905619852,-4.94377367856214,0.00712765009686102,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
